,,,,,,,,,,31376,,
图片,商品编码,品牌,季节码,商品分类,展示分组,款号,颜色,尺码,市场价,数量,供货价,折扣
,1425287,JOHN ELLIOTT,2020春夏,男装（新）-裤子-运动裤,F002N0813A,F002N0813A Charcoal,灰色,4,"¥3,180",1,318 ,10.00%
,1425288,JOHN ELLIOTT,2020春夏,男装（新）-裤子-运动裤,F002N0813A,F002N0813A Charcoal,灰色,5,"¥3,180",1,318 ,10.00%
,1425407,JOHN ELLIOTT,2020春夏,男装（新）-裤子-休闲裤,F051L4510A,F051L4510A Black,深灰/黑色,0,"¥3,640",1,364 ,10.00%
,1448152,SPORTMAX,2020秋冬,女装（新）-裤子-休闲裤-休闲裤,21360109600,21360109600 002,浅灰色,36,"¥3,470",1,347 ,10.00%
,1448153,SPORTMAX,2020秋冬,女装（新）-裤子-休闲裤-休闲裤,21360109600,21360109600 002,浅灰色,38,"¥3,470",1,347 ,10.00%
,1458070,STELLA MCCARTNEY,2020秋冬,女装（新）-连衣裙-及膝裙,602415S2216,602415S2216 8508,黑色/白色,34,"¥12,550",1,"1,255 ",10.00%
,1458549,ACLER,2021春夏,女装（新）-裤子-休闲裤-休闲裤,AS200714P-1,AS200714P-1 CHECK SHIMMER,棕色/米色,2,"¥2,000",1,200 ,10.00%
,1458554,ACLER,2021春夏,女装（新）-裤子-休闲裤-休闲裤,AS2007121P,AS2007121P STORM GREEN,绿色,2,"¥2,000",1,200 ,10.00%
,1460646,KENZO,2021春夏,女装（新）-半裙-中长款半裙,FB52JU5523AD,FB52JU5523AD 21,红色,S,"¥3,600",2,360 ,10.00%
,1461518,Significant Other,2021春夏,女装（新）-裤子-短裤,SL200710P,SL200710P CARAMEL PAINTED FLORAL,黄色/白色,2,"¥2,000",1,200 ,10.00%
,1461519,Significant Other,2021春夏,女装（新）-裤子-短裤,SL200710P,SL200710P CARAMEL PAINTED FLORAL,黄色/白色,4,"¥2,000",1,200 ,10.00%
,1461520,Significant Other,2021春夏,女装（新）-裤子-短裤,SL200710P,SL200710P CARAMEL PAINTED FLORAL,黄色/白色,6,"¥2,000",1,200 ,10.00%
,1461521,Significant Other,2021春夏,女装（新）-上装-衬衫-衬衫,SL200794T,SL200794T CARAMEL PAINTED FLORAL,黄色/白色,2,"¥2,000",5,200 ,10.00%
,1462909,MSGM,2021春夏,女装（新）-裤子-短裤,3041MDB03 217102,3041MDB03 217102 23,黄色/米色,38,"¥3,900",2,390 ,10.00%
,1462910,MSGM,2021春夏,女装（新）-裤子-短裤,3041MDB03 217102,3041MDB03 217102 23,黄色/米色,40,"¥3,900",3,390 ,10.00%
,1462912,MSGM,2021春夏,女装（新）-裤子-短裤,3041MDB03 217102,3041MDB03 217102 82,蓝色/米色,38,"¥3,900",2,390 ,10.00%
,1462913,MSGM,2021春夏,女装（新）-裤子-短裤,3041MDB03 217102,3041MDB03 217102 82,蓝色/米色,40,"¥3,900",2,390 ,10.00%
,1462921,MSGM,2021春夏,女装（新）-半裙-迷你半裙,3041MDD13 217102,3041MDD13 217102 12,粉色/米色,38,"¥3,600",2,360 ,10.00%
,1464299,ACLER,2021春夏,女装（新）-外套-风衣,AW200705J,AW200705J INK STRIPE,白色/黑色,2,"¥4,800",1,480 ,10.00%
,1465352,PS PAUL SMITH,2021春夏,男装（新）-裤子-牛仔裤,M2R-301Z-F21156.R,M2R-301Z-F21156.R 74,抹茶绿,28,"¥1,300",1,130 ,10.00%
,1466439,Significant Other,2021春夏,女装（新）-裤子-连体裤-连体裤,SS201033P-PRT,SS201033P-PRT MIXED FLORAL,米黄色,2,"¥3,100",4,310 ,10.00%
,1466441,Significant Other,2021春夏,女装（新）-上装-吊带背心-背心/吊带,SS201004T-PRT,SS201004T-PRT MIXED FLORAL,米黄色,2,"¥1,800",3,180 ,10.00%
,1466443,Significant Other,2021春夏,女装（新）-连衣裙-迷你裙,SS201007D-PRT,SS201007D-PRT MIXED FLORAL,米黄色,2,"¥2,900",3,290 ,10.00%
,1466444,Significant Other,2021春夏,女装（新）-连衣裙-迷你裙,SS201007D-PRT,SS201007D-PRT MIXED FLORAL,米黄色,4,"¥2,900",3,290 ,10.00%
,1466446,Significant Other,2021春夏,女装（新）-裤子-短裤,SS201005P-PRT,SS201005P-PRT MIXED FLORAL,米黄色,2,"¥2,000",2,200 ,10.00%
,1466448,Significant Other,2021春夏,女装（新）-裤子-短裤,SS201005P-PRT,SS201005P-PRT MIXED FLORAL,米黄色,6,"¥2,000",1,200 ,10.00%
,1467586,Vanessa Bruno,2021春夏,女装（新）-连衣裙-迷你裙,1EVA51-V08056,1EVA51-V08056-212,米黄色,34,"¥2,280",8,247 ,10.82%
,1467587,Vanessa Bruno,2021春夏,女装（新）-连衣裙-迷你裙,1EVA51-V08056,1EVA51-V08056-212,米黄色,36,"¥2,280",11,247 ,10.82%
,1467588,Vanessa Bruno,2021春夏,女装（新）-连衣裙-迷你裙,1EVA51-V08056,1EVA51-V08056-212,米黄色,38,"¥2,280",3,247 ,10.82%
,1467589,Vanessa Bruno,2021春夏,女装（新）-连衣裙-迷你裙,1EVA51-V08056,1EVA51-V08056-769,蓝色,34,"¥2,280",7,247 ,10.82%
,1467590,Vanessa Bruno,2021春夏,女装（新）-连衣裙-迷你裙,1EVA51-V08056,1EVA51-V08056-769,蓝色,36,"¥2,280",10,247 ,10.82%
,1467591,Vanessa Bruno,2021春夏,女装（新）-连衣裙-迷你裙,1EVA51-V08056,1EVA51-V08056-769,蓝色,38,"¥2,280",4,247 ,10.82%
,1467644,MARNI,2021春夏,鞋靴（新）-女鞋-凉鞋-凉鞋,SAMS011704 P3387,SAMS011704 P3387 00W01,白色,35,"¥5,600",1,551 ,9.84%
,1467698,MANEBI,2021春夏,鞋靴（新）-男鞋-草鞋,W 2.5 C0,W 2.5 C0 Blue Baja,蓝灰色,39,"¥1,100",2,88 ,8.02%
,1467705,MANEBI,2021春夏,鞋靴（新）-男鞋-草鞋,W 2.1 C0,W 2.1 C0 Brown Sand,土黄色,40,"¥1,100",1,88 ,8.01%
,1469047,PINKO,2021春夏,女装（新）-半裙-迷你半裙,1G163Z Y65P,1G163Z Y65P ZR0,粉色/白色,XS,"¥2,540",1,255 ,10.03%
,1469623,KENZO,2021春夏,女装（新）-上装-衬衫-衬衫,FB52CH038513,FB52CH038513 02,多色,38,"¥5,100",4,489 ,9.59%
,1469624,KENZO,2021春夏,女装（新）-上装-衬衫-衬衫,FB52CH038513,FB52CH038513 02,多色,40,"¥5,100",3,490 ,9.61%
,1469641,KENZO,2021春夏,女装（新）-上装-毛衣-毛衣,FB52PU5523AD,FB52PU5523AD 95,灰色,S,"¥4,200",3,405 ,9.65%
,1469642,KENZO,2021春夏,女装（新）-上装-毛衣-毛衣,FB52PU5523AD,FB52PU5523AD 95,灰色,XS,"¥4,200",2,404 ,9.63%
,1469710,SYSTEM,2021春夏,女装（新）-裤子-休闲裤-休闲裤,SY2B3KPCT01W,SY2B3KPCT01W BK,黑色,34,"¥3,000",1,323 ,10.76%
,1470132,MSGM,2021春夏,女装（新）-夹克-西装,3041MDG08 217102,3041MDG08 217102 23,白色/棕色,36,"¥7,600",1,703 ,9.26%
,1470183,MSGM,2021春夏,男装（新）-上装-衬衫-衬衫,3040ME03A 217013,3040ME03A 217013 18,红色,40,"¥2,780",1,270 ,9.71%
,1470186,MSGM,2021春夏,男装（新）-裤子-短裤,3040MB02A 217013,3040MB02A 217013 89,深蓝色,44,"¥2,300",2,226 ,9.82%
,1470192,MSGM,2021春夏,男装（新）-裤子-短裤,3040MB02A 217013,3040MB02A 217013 18,红色,46,"¥2,300",2,226 ,9.83%
,1470475,CASTANER,2021春夏,鞋靴（新）-男鞋-草鞋,PABLO/002,PABLO/002 TOSTADO,棕色,39,¥900,1,109 ,12.13%
,1470476,CASTANER,2021春夏,鞋靴（新）-男鞋-草鞋,PABLO/002,PABLO/002 TOSTADO,棕色,40,¥900,2,109 ,12.16%
,1471636,KENZO,2021春夏,女装（新）-连衣裙-及膝裙,FB52RO0349SA,FB52RO0349SA 49,绿色,36,"¥7,900",1,755 ,9.56%
